Serial,Item,Description,File_Extensions,Category,Comments
1,Adobe AEM,"Adobe AEM is a web content management system for building and managing digital experiences.",".jsp (ambiguous), .xml (ambiguous)","Technology","Configuration/view files are common but not exclusive to AEM."
2,Amazon Web Services,"AWS provides a broad range of cloud computing services and infrastructure.", "N/A","Technology","Cloud service platform – no exclusive file extension."
3,Artificial Intelligence/Machine Learning,"Field focused on algorithms and statistical models that enable computers to perform tasks without explicit instructions.", "N/A","Method","Conceptual area; not file-based."
4,Axiom,"May refer to a set of foundational principles or a data/process management software platform.", "N/A","Tool","Ambiguous usage; no specific file type applicable."
5,Cassandra,"Apache Cassandra is a distributed NoSQL database designed for scalability.", ".cql (ambiguous)","Technology","CQL scripts are used, but the extension is generic."
6,Cloud Architect,"A role responsible for designing and managing cloud solutions.", "N/A","Method","Job role – not associated with a committable file type."
7,Cloud Computing,"The delivery of computing services over the internet.", "N/A","Technology","Concept/service rather than a file-based technology."
8,Cloud Implementation (Data on Cloud, Integration with Cloud),"Process of migrating and integrating data/applications into cloud environments.", "N/A","Method","Methodology; no associated file type."
9,CyberSecurity,"Practices and technologies used to protect networks, devices, and data from unauthorized access or attacks.", "N/A","Technology","Not directly associated with a specific file extension."
10,Data Scientist,"A professional who analyzes and interprets complex data to help organizations make decisions.", "N/A","Method","Job role – no file-based component."
11,Data Virtualization – Composite & Data Fabric,"An approach to abstracting and integrating disparate data sources into a unified view.", "N/A","Technology","Concept – not associated with committable file types."
12,Docker,"A platform for developing, shipping, and running applications in containers.", "Dockerfile (ambiguous)","Technology","Dockerfiles are used but are not exclusive to Docker."
13,Google Cloud Platform,"Google's suite of cloud computing services and infrastructure.", "N/A","Technology","Cloud service; no exclusive file extension."
14,Hortonworks,"A big data platform built on Apache Hadoop for large-scale data processing.", "N/A","Technology","Platform; no committable file type."
15,IBM SPSS,"A statistical analysis software package used for data mining and predictive analytics.", ".sav (exclusive), .sps (exclusive)","Tool","File types specific to SPSS data and syntax."
16,Infosys Finacle,"A core banking solution offered by Infosys for financial institutions.", "N/A","Technology","Enterprise software – no associated file extension."
17,Jive,"A collaboration and communication platform for enterprise social business.", "N/A","Technology","Platform – no exclusive file extension."
18,Kafka,"A distributed event streaming platform used for building real-time data pipelines.", "N/A","Technology","Service platform; file extensions not applicable."
19,Kognitio,"A high-performance analytic database platform designed for complex queries.", "N/A","Technology","Platform; no associated file type."
20,Kotlin,"A modern programming language targeting JVM, Android, and more.", ".kt (exclusive), .kts (exclusive)","Technology","File extensions are exclusive to Kotlin."
21,Kubernetes,"A container orchestration platform for automating deployment and scaling.", ".yaml (ambiguous), .json (ambiguous)","Technology","Uses configuration files that are generic."
22,Kudu,"A storage engine for fast analytics on Hadoop.", "N/A","Technology","No specific file extension."
23,MapR,"A big data platform and distribution built around Apache Hadoop.", "N/A","Technology","Platform; no committable file type."
24,MarkLogic,"A multi-model NoSQL database that supports structured and unstructured data.", "N/A","Technology","No exclusive file extension."
25,Matlab,"A technical computing environment and programming language for numerical computing.", ".m (ambiguous), .mat (exclusive)","Technology",".m files are generic; .mat files are MATLAB-specific."
26,MemSQL,"An in-memory, distributed SQL database designed for speed.", "N/A","Technology","No specific file extension."
27,Microsoft Azure,"Microsoft's comprehensive cloud computing platform and service.", "N/A","Technology","Cloud service; no committable file type."
28,MongoDB,"A document-oriented NoSQL database used for high volume data storage.", "N/A","Technology","Database system – no exclusive file extension."
29,Natural Language Processing,"A field focused on the interaction between computers and human language.", "N/A","Method","Conceptual area; not file-based."
30,Natural Language Speech / Search (SOLR and Lucene),"Technologies that power text search, indexing, and speech recognition.", "N/A","Technology","Uses configuration files; no exclusive extension."
31,nCino,"A cloud-based banking platform that provides financial institutions with digital solutions.", "N/A","Technology","Enterprise platform – no file extension."
32,NLP / Search Analytics,"Techniques and tools used to analyze natural language and search data.", "N/A","Method","Concept/methodology; not associated with files."
33,Oracle Cloud,"Oracle's suite of cloud services for infrastructure and applications.", "N/A","Technology","Cloud service; no file extension."
34,Oracle Times Ten,"An in-memory relational database by Oracle for high-speed transactions.", "N/A","Technology","No associated file extension."
35,Paraccel,"A massively parallel processing (MPP) database designed for big data analytics.", "N/A","Technology","Platform; no exclusive file extension."
36,Pega CLM,"Pega's Customer Lifecycle Management solution for enterprises.", "N/A","Technology","Enterprise software – no file extension."
37,Pega CLSA,"A component of Pega’s suite for case management and customer service.", "N/A","Technology","No committable file type."
38,Pega Robotics,"Pega’s automation platform for robotic process automation.", "N/A","Technology","No associated file extension."
39,Pig,"A high-level platform for creating MapReduce programs used with Hadoop.", ".pig (ambiguous)","Technology","Script files for Pig; extension is not exclusive."
40,Pivotal Cloud Foundry,"A cloud-native platform for deploying and operating applications.", "N/A","Technology","Platform; no file extension."
41,RedHat OpenShift,"A Kubernetes-based container platform by RedHat for enterprise applications.", "N/A","Technology","Platform; no associated file extension."
42,Release Train Engineer(RTE),"A role responsible for coordinating and managing agile release trains.", "N/A","Method","Job role; no file extension."
43,Robotic Process Automation,"Technologies used to automate routine business processes.", "N/A","Technology","Concept; not associated with a specific file extension."
44,Salesforce Marketing Cloud,"A digital marketing platform that enables personalized customer engagement.", "N/A","Technology","Enterprise platform – no file extension."
45,SAS Predictive Analytics,"A suite of software for predictive modeling and data analytics from SAS.", ".sas (ambiguous)","Technology","Uses SAS scripts; extension is common but not exclusive."
46,SDI Cloud,"A cloud service focused on data integration and system interoperability.", "N/A","Technology","No specific file extension."
47,SolidDB,"An in-memory database system designed for real-time data processing.", "N/A","Technology","No associated file extension."
48,Spark,"An analytics engine for large-scale data processing and machine learning.", "N/A","Technology","Uses various file types; no exclusive file extension."
49,SPARQL,"A query language for retrieving and manipulating data stored in RDF format.", ".rq (ambiguous)","Technology","Extension for SPARQL queries, but not exclusive."
50,Sybase Adaptive Server,"A relational database management system from Sybase.", "N/A","Technology","No specific file extension."
51,TensorFlow,"An open-source machine learning framework for building and training models.", "N/A","Technology","No exclusive file extension; utilizes multiple file types."
52,Tibbr,"An enterprise social networking platform for internal collaboration.", "N/A","Technology","Platform; no file extension."
53,Voice Biometrics,"Technology that identifies individuals based on unique voice patterns.", "N/A","Technology","Concept; not file-based."
54,VoltDB,"An in-memory, relational database designed for high-velocity data operations.", "N/A","Technology","No associated file extension."
55,Workfusion,"A platform for intelligent automation that combines RPA and AI.", "N/A","Technology","No file extension."
56,Zaloni,"A data management platform focused on data governance and analytics.", "N/A","Technology","No committable file type."
57,Abacis/Nomad,"A platform for business intelligence and data integration.", "N/A","Technology","No associated file extension."
58,AbInitio,"An enterprise data processing platform for building and managing data pipelines.", "N/A","Technology","No committable file type."
59,Actimize,"A financial crime, risk, and compliance management software platform.", "N/A","Technology","No specific file extension."
60,Activiti BPM Platform,"An open-source business process management and workflow engine.", ".bpmn (ambiguous)","Technology","BPMN files are used, though they are not exclusive."
61,Adaptive Metadata manager,"A tool for managing and organizing metadata across systems.", "N/A","Tool","No committable file type."
62,Adaptive Repository Manager,"A tool for managing repositories and content effectively.", "N/A","Tool","No file extension."
63,Adobe Captivate,"An e-learning authoring tool for creating interactive training content.", ".cptx (exclusive)","Tool","Project files are exclusive to Adobe Captivate."
64,Adobe Creative Suite - Fireworks & Illustrator as design tools,"A suite of creative design applications used for graphics and multimedia.", ".ai (exclusive), .png, .jpg, .psd (ambiguous)","Tool",".ai is exclusive to Illustrator; others are common image formats."
65,Adobe LiveCycle/eForms,"Enterprise software for building form-based applications.", "N/A","Technology","No specific file extension."
66,Advent Geneva,"A software platform for investment management and trading.", "N/A","Technology","No committable file type."
67,Agile Coach,"A professional who guides and mentors teams in agile practices.", "N/A","Method","Role – no file extension."
68,Agile scrum master,"A facilitator responsible for managing agile project teams.", "N/A","Method","Job role – no associated file type."
69,Akamai,"A global content delivery network (CDN) and cloud services provider.", "N/A","Technology","No file extension."
70,Android,"A mobile operating system developed by Google.", ".apk (exclusive), .java (ambiguous), .xml (ambiguous)","Technology",".apk files are exclusive to Android apps."
71,AngularJS,"A JavaScript framework for building dynamic web applications.", ".js (ambiguous), .html (ambiguous)","Technology","Uses common web file types."
72,Apache Cordova,"A mobile development framework using HTML, CSS, and JavaScript.", ".js (ambiguous), .html (ambiguous), .xml (ambiguous)","Technology","Relies on standard web file types."
73,AppDynamics,"An application performance management and monitoring solution.", "N/A","Technology","No associated file extension."
74,Appian,"A low-code platform for building enterprise applications.", "N/A","Technology","No committable file type."
75,Apple Swift,"A programming language for iOS and macOS development.", ".swift (exclusive)","Technology","File extension is exclusive to Swift."
76,Application Messaging - MQ,"Middleware facilitating message-based communication between applications (e.g., IBM MQ).", "N/A","Technology","No single file type; configuration driven."
77,Application security-fortify,"A security testing tool for identifying vulnerabilities in software.", "N/A","Technology","No associated file extension."
78,Application security-silvertail,"A tool for assessing application vulnerabilities and security posture.", "N/A","Technology","No specific file extension."
79,Application security-webinspect,"A web application security testing solution.", "N/A","Technology","No file extension."
80,AQL,"A query language used in some database systems (e.g., ArangoDB).", ".aql (ambiguous)","Technology","File extension used for query scripts but not exclusive."
81,Archer,"A risk management and compliance platform by RSA Archer.", "N/A","Technology","No associated file extension."
82,ARGO-Bankpro,"A banking software solution for transaction processing.", "N/A","Technology","No file extension."
83,Ariba,"A procurement and supply chain management platform from SAP Ariba.", "N/A","Technology","No file extension."
84,AS400/ISeries,"IBM’s midrange computer systems and platform for enterprise applications.", "N/A","Technology","Legacy platform; no committable file type."
85,Aspect Unified IP,"A unified communications platform for voice and data.", "N/A","Technology","No associated file extension."
86,Atrium Orchestrator (Vendor BMC),"An orchestration and automation tool by BMC.", "N/A","Technology","No file extension."
87,Avaya Aura,"A communications platform offering unified messaging and collaboration.", "N/A","Technology","No file extension."
88,Avaya MPS,"A multimedia processing solution by Avaya.", "N/A","Technology","No file extension."
89,Azure ML,"Microsoft’s cloud-based machine learning service.", "N/A","Technology","No file extension."
90,BAAN,"An enterprise resource planning (ERP) software suite.", "N/A","Technology","No associated file extension."
91,Base24 - Classic,"A transaction processing system for banking.", "N/A","Technology","No file extension."
92,Base24 EPS,"An electronic payment system variant of Base24.", "N/A","Technology","No associated file extension."
93,BEA BPM & Aqualogic,"Business process management and SOA tools from BEA.", "N/A","Technology","No file extension."
94,Becubic,"A software platform for complex IT solutions.", "N/A","Technology","No associated file extension."
95,Big Data - Cloudera,"Cloudera's distribution for Hadoop-based big data processing.", "N/A","Technology","Platform; no file extension."
96,Bladelogic,"An automation and configuration management tool by BMC.", "N/A","Technology","No file extension."
97,Blaze Advisor,"A business rules management system for decision automation.", "N/A","Technology","No committable file type."
98,BMC ControlSA,"An IT service management and automation solution.", "N/A","Technology","No file extension."
99,BPM - Savvion,"A business process management solution by Savvion.", "N/A","Technology","No associated file extension."
100,Business Analyst (Domain Experts),"Professionals who analyze and translate business requirements.", "N/A","Method","Job role – no file extension."
101,C++,"A general-purpose programming language with high performance.", ".cpp (exclusive), .h (ambiguous)","Technology",".cpp is exclusive; header files (.h) are common."
102,CA Security Suite,"A suite of security tools provided by CA Technologies.", "N/A","Technology","No associated file extension."
103,Calypso Technologies,"Financial software for trading, risk, and treasury management.", "N/A","Technology","No file extension."
104,Camunda,"A workflow and decision automation platform for BPM.", ".bpmn (ambiguous), .dmn (ambiguous)","Technology","Standard BPM file types used across tools."
105,Change Managers,"Professionals managing organizational change initiatives.", "N/A","Method","Role – not associated with files."
106,Charles River,"An investment management and compliance platform.", "N/A","Technology","No file extension."
107,Chordiant,"A customer relationship management (CRM) solution.", "N/A","Technology","No associated file extension."
108,Chromium,"An open-source web browser project.", "N/A","Technology","Platform; no file extension."
109,Clickfox,"A customer experience analytics platform.", "N/A","Technology","No file extension."
110,ClickView,"A data visualization and business intelligence tool.", "N/A","Technology","No committable file type."
111,Cloudera Impala,"A SQL query engine for processing Hadoop data.", "N/A","Technology","No associated file extension."
112,Cobertura,"A code coverage analysis tool for Java applications.", ".xml (ambiguous), .html (ambiguous)","Technology","Uses standard file types for reporting."
113,Cognos,"IBM's business intelligence and performance management software.", "N/A","Technology","No file extension."
114,Content Management - ADAM,"A content management system offered by ADAM.", "N/A","Technology","No committable file type."
115,Content Management - AdobeCG5,"Adobe’s content management platform (formerly CQ5).", ".jsp (ambiguous), .xml (ambiguous)","Technology","Uses common web file types."
116,Content Management - Alfresco,"An open-source enterprise content management system.", "N/A","Technology","No file extension."
117,Content Management - Drupal,"An open-source content management framework.", ".php (ambiguous), .twig (ambiguous)","Technology","Uses common web file types."
118,Content Management - Interwoven/Teamsite,"An enterprise content management system by Interwoven.", "N/A","Technology","No associated file extension."
119,Content Management - OWC Sites(Fatwire)/OWC Content,"Oracle WebCenter Sites (formerly Fatwire) for web content management.", "N/A","Technology","No file extension."
120,Content Management - Sitecore,"A digital experience and content management system.", "N/A","Technology","No committable file type."
121,Content Management – Tridion,"SDL Tridion is a web content management system for enterprises.", "N/A","Technology","No associated file extension."
122,Coremetrics,"A web analytics solution for tracking digital interactions.", "N/A","Technology","No file extension."
123,Cucumber,"A testing tool for behavior-driven development (BDD).", ".feature (exclusive)","Technology",".feature files are specific to Cucumber."
124,Cyara - User Experience Testing,"A platform for automated testing of customer experience applications.", "N/A","Technology","No file extension."
125,Data Governance, Protection & Data Management,"Practices and tools for managing data quality, security, and compliance.", "N/A","Method","Conceptual area; not file-based."
126,Data modelling and architecture,"The design and structure of data systems and databases.", "N/A","Method","Concept/methodology; no file extension."
127,Data Stax Drivers,"Drivers provided by DataStax for connecting to Apache Cassandra.", "N/A","Technology","No committable file type."
128,Datalink (Vendor - Datalink),"A data integration and connectivity tool.", "N/A","Technology","No file extension."
129,DataStage,"IBM's ETL tool for data integration and transformation.", "N/A","Technology","No associated file extension."
130,DevOps,"Practices that combine software development and IT operations for faster delivery.", "N/A","Method","Concept; not file-based."
131,Drools,"A business rules management system by JBoss for decision automation.", ".drl (ambiguous)","Technology","Uses .drl rule files, though the extension is generic."
132,Dynatrace - Performance Engineering Analysis,"A software intelligence platform for performance monitoring and analytics.", "N/A","Technology","No file extension."
133,EASYTRIEVE +,"A legacy report writer and programming language used for mainframe data processing.", ".etl (ambiguous)","Technology","Extension used for Easytrieve programs."
134,EMC Captiva,"A document capture and imaging software solution.", "N/A","Technology","No associated file extension."
135,EMC Documentum,"An enterprise content management platform by EMC.", "N/A","Technology","No file extension."
136,Essbase,"A multidimensional database management system for OLAP by Oracle.", "N/A","Technology","No associated file extension."
137,ETL/Database testing,"Testing processes focused on data extraction, transformation, and loading.", "N/A","Method","Methodology; no file-based component."
138,Ext JS,"A JavaScript framework for building interactive web applications.", ".js (ambiguous)","Technology","Uses standard web file types."
139,Fidelity Touchpoint,"An investment management platform for financial services.", "N/A","Technology","No file extension."
140,Fidessa,"A trading and investment management platform.", "N/A","Technology","No associated file extension."
141,Filenet,"IBM's enterprise content management software.", "N/A","Technology","No file extension."
142,Financial Transaction Manager,"Software for managing and processing financial transactions.", "N/A","Technology","No committable file type."
143,Finastra - Global Cash Plus,"A core banking solution by Finastra for cash management.", "N/A","Technology","No file extension."
144,Finastra - Global Pay Plus,"A payment processing solution by Finastra.", "N/A","Technology","No associated file extension."
145,Finastra LoanIQ,"A loan processing and management software solution.", "N/A","Technology","No file extension."
146,Finastra TI Plus,"A treasury and investment management software by Finastra.", "N/A","Technology","No file extension."
147,Firewall Administration,"The administration and configuration of network firewalls.", "N/A","Method","Methodology; not file-based."
148,Fiserv Recon/Frontier,"A financial reconciliation software solution from Fiserv.", "N/A","Technology","No file extension."
149,Fitnesse,"A collaborative testing tool for software acceptance testing.", "N/A","Technology","No associated file extension."
150,FIX - Financial Information Exchange,"An electronic communication protocol for the exchange of financial information.", "N/A","Technology","Protocol – not a file-based technology."
151,Focus,"An ambiguous term that may refer to a programming language or UI framework.", "N/A","Technology","Unclear context; no file extension."
152,FORTRAN,"A high-level programming language used for scientific and numerical computing.", ".f (ambiguous), .for (ambiguous)","Technology","Common file extensions, but not exclusive."
153,Fujitsu iFlow,"An integration and process automation tool by Fujitsu.", "N/A","Technology","No file extension."
154,Fujitsu Interstage,"A middleware and integration platform from Fujitsu.", "N/A","Technology","No associated file extension."
155,Gasper,"An ambiguous item with unclear context; could be a tool or technology.", "N/A","Technology","No file extension due to unclear reference."
156,Genesys IVR,"An interactive voice response system by Genesys for customer service.", "N/A","Technology","No file extension."
157,Gigaspace,"An in-memory computing platform for data processing and analytics.", "N/A","Technology","No file extension."
158,GLOSS,"A tool or system likely related to data management or reporting; context unclear.", "N/A","Technology","Ambiguous – no file extension."
159,Greenplum,"An open-source massively parallel processing (MPP) database.", "N/A","Technology","No associated file extension."
160,Groovy,"A dynamic programming language for the Java platform.", ".groovy (exclusive), .gvy (ambiguous)","Technology",".groovy is exclusive to Groovy scripts."
161,Grunt,"A JavaScript task runner used for automation.", ".js (ambiguous)","Technology","Uses common web file types."
162,Guardium,"IBM's solution for data security and protection.", "N/A","Technology","No file extension."
163,GWT,"Google Web Toolkit for building complex web applications in Java.", ".java (ambiguous), .gwt.xml (ambiguous)","Technology","Uses standard Java and XML file types."
164,Hadoop,"An open-source framework for distributed storage and processing of big data.", "N/A","Technology","No file extension."
165,Hbase,"A distributed, scalable, big data store modeled after Google Bigtable.", "N/A","Technology","No associated file extension."
166,HDFS,"The Hadoop Distributed File System for large-scale data storage.", "N/A","Technology","No file extension."
167,Hibernate,"An object-relational mapping (ORM) tool for Java.", ".hbm.xml (ambiguous)","Technology","Uses XML mapping files which are generic."
168,Hive,"A data warehouse infrastructure built on Hadoop.", ".hql (ambiguous)","Technology","Hive query files are generic."
